,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
53,0.0,0.0,0.0,3088.8,15.8,0.0,0.0,0.0,174.4,0.0,312.8,0.0,2.2,0.0,14.2,0.0,1.6,0.0,19.4,2.6
54,0.0,0.0,0.0,3094.4,17.4,0.0,0.0,0.0,184.2,0.0,339.4,0.0,2.6,0.0,15.6,0.0,1.8,0.0,20.2,2.8
55,0.0,0.0,0.0,3100.0,19.0,0.0,0.0,0.0,194.0,0.0,366.0,0.0,3.0,0.0,17.0,0.0,2.0,0.0,21.0,3.0
56,0.0,0.0,0.2,3104.6,19.0,0.4,0.0,0.0,202.6,0.0,385.4,0.0,3.0,0.0,19.2,0.0,2.0,0.0,21.2,3.2
57,0.0,0.0,0.4,3109.2,19.0,0.8,0.0,0.0,211.2,0.0,404.8,0.0,3.0,0.0,21.4,0.0,2.0,0.0,21.4,3.4
58,0.0,0.0,0.6000000000000001,3113.8,19.0,1.2000000000000002,0.0,0.0,219.8,0.0,424.2,0.0,3.0,0.0,23.6,0.0,2.0,0.0,21.6,3.6
59,0.0,0.0,0.8,3118.4,19.0,1.6,0.0,0.0,228.4,0.0,443.6,0.0,3.0,0.0,25.8,0.0,2.0,0.0,21.8,3.8
60,0.0,0.0,1.0,3123.0,19.0,2.0,0.0,0.0,237.0,0.0,463.0,0.0,3.0,0.0,28.0,0.0,2.0,0.0,22.0,4.0
61,0.0,0.0,1.0,3126.2,21.8,2.0,0.0,0.0,247.8,0.0,496.6,0.0,3.2,0.0,29.4,0.0,2.2,0.0,23.2,4.4
62,0.0,0.0,1.0,3129.4,24.6,2.0,0.0,0.0,258.6,0.0,530.2,0.0,3.4,0.0,30.8,0.0,2.4,0.0,24.4,4.8
63,0.0,0.0,1.0,3132.6,27.4,2.0,0.0,0.0,269.4,0.0,563.8,0.0,3.6,0.0,32.2,0.0,2.6,0.0,25.6,5.2
64,0.0,0.0,1.0,3135.8,30.2,2.0,0.0,0.0,280.2,0.0,597.4,0.0,3.8,0.0,33.6,0.0,2.8,0.0,26.8,5.6
65,0.0,0.0,1.0,3139.0,33.0,2.0,0.0,0.0,291.0,0.0,631.0,0.0,4.0,0.0,35.0,0.0,3.0,0.0,28.0,6.0
66,0.6,0.0,1.0,3143.4,36.0,2.2,0.2,0.2,303.6,0.2,670.2,0.0,4.2,0.0,38.8,0.2,3.2,0.0,28.8,6.4
67,1.2,0.0,1.0,3147.8,39.0,2.4,0.4,0.4,316.2,0.4,709.4,0.0,4.4,0.0,42.6,0.4,3.4,0.0,29.6,6.8
68,1.7999999999999998,0.0,1.0,3152.2,42.0,2.6,0.6000000000000001,0.6000000000000001,328.8,0.6000000000000001,748.6,0.0,4.6,0.0,46.4,0.6000000000000001,3.6,0.0,30.4,7.2
69,2.4,0.0,1.0,3156.6,45.0,2.8,0.8,0.8,341.4,0.8,787.8,0.0,4.8,0.0,50.2,0.8,3.8,0.0,31.2,7.6
70,3.0,0.0,1.0,3161.0,48.0,3.0,1.0,1.0,354.0,1.0,827.0,0.0,5.0,0.0,54.0,1.0,4.0,0.0,32.0,8.0
71,3.0,0.0,1.0,3163.2,48.0,3.0,1.0,1.0,369.0,1.0,861.6,0.0,5.0,0.0,54.2,1.0,4.0,0.0,33.6,8.0
72,3.0,0.0,1.0,3165.4,48.0,3.0,1.0,1.0,384.0,1.0,896.2,0.0,5.0,0.0,54.4,1.0,4.0,0.0,35.2,8.0
73,3.0,0.0,1.0,3167.6,48.0,3.0,1.0,1.0,399.0,1.0,930.8,0.0,5.0,0.0,54.6,1.0,4.0,0.0,36.8,8.0
74,3.0,0.0,1.0,3169.8,48.0,3.0,1.0,1.0,414.0,1.0,965.4,0.0,5.0,0.0,54.8,1.0,4.0,0.0,38.4,8.0
75,3.0,0.0,1.0,3172.0,48.0,3.0,1.0,1.0,429.0,1.0,1000.0,0.0,5.0,0.0,55.0,1.0,4.0,0.0,40.0,8.0
76,3.0,0.0,1.0,3173.6,54.2,3.8,1.2,1.6,446.0,1.0,1053.2,0.0,6.0,0.0,70.6,1.0,5.4,0.0,41.6,8.0
77,3.0,0.0,1.0,3175.2,60.4,4.6,1.4,2.2,463.0,1.0,1106.4,0.0,7.0,0.0,86.2,1.0,6.8,0.0,43.2,8.0
78,3.0,0.0,1.0,3176.8,66.6,5.4,1.6,2.8,480.0,1.0,1159.6,0.0,8.0,0.0,101.8,1.0,8.2,0.0,44.8,8.0
79,3.0,0.0,1.0,3178.4,72.8,6.2,1.8,3.4,497.0,1.0,1212.8,0.0,9.0,0.0,117.4,1.0,9.6,0.0,46.4,8.0
80,3.0,0.0,1.0,3180.0,79.0,7.0,2.0,4.0,514.0,1.0,1266.0,0.0,10.0,0.0,133.0,1.0,11.0,0.0,48.0,8.0
81,3.2,0.0,1.0,3182.6,81.4,7.4,2.0,4.2,533.4,1.2,1301.0,0.0,10.4,0.0,145.4,1.2,11.4,0.0,49.2,10.6
82,3.4,0.0,1.0,3185.2,83.8,7.8,2.0,4.4,552.8,1.4,1336.0,0.0,10.8,0.0,157.8,1.4,11.8,0.0,50.4,13.2
83,3.6,0.0,1.0,3187.8,86.2,8.2,2.0,4.6,572.2,1.6,1371.0,0.0,11.2,0.0,170.2,1.6,12.2,0.0,51.6,15.8
84,3.8,0.0,1.0,3190.4,88.6,8.6,2.0,4.8,591.6,1.8,1406.0,0.0,11.6,0.0,182.6,1.8,12.6,0.0,52.8,18.4
85,4.0,0.0,1.0,3193.0,91.0,9.0,2.0,5.0,611.0,2.0,1441.0,0.0,12.0,0.0,195.0,2.0,13.0,0.0,54.0,21.0
86,4.0,0.0,1.0,3195.0,91.0,9.4,2.0,5.0,633.6,2.0,1514.6,0.0,13.6,0.0,213.8,2.2,13.2,0.0,55.2,21.0
