,window,level_1,0
10866,61,8,8
10867,61,9,9
10868,61,10,10
10869,61,11,17
10870,61,12,11
10873,61,15,12
10874,61,16,13
10875,61,17,14
10876,61,18,15
10877,61,19,16
10879,61,21,18
10880,61,22,19
10881,61,23,20
11036,62,0,1
11037,62,1,2
11038,62,2,3
11039,62,3,4
11040,62,4,5
11041,62,5,7
11042,62,6,6
11044,62,8,8
11045,62,9,9
11046,62,10,10
11047,62,11,17
11048,62,12,11
11051,62,15,12
11052,62,16,13
11053,62,17,14
11054,62,18,15
11055,62,19,16
11057,62,21,18
11058,62,22,19
11059,62,23,20
11214,63,0,1
11215,63,1,2
11216,63,2,3
11217,63,3,4
11218,63,4,5
11219,63,5,7
11220,63,6,6
11222,63,8,8
11223,63,9,9
11224,63,10,10
11225,63,11,17
11226,63,12,11
11229,63,15,12
11230,63,16,13
11231,63,17,14
11232,63,18,15
11233,63,19,16
11235,63,21,18
11236,63,22,19
11237,63,23,20
11392,64,0,1
11393,64,1,2
11394,64,2,3
11395,64,3,4
11396,64,4,5
11397,64,5,7
11398,64,6,6
11400,64,8,8
11401,64,9,9
11402,64,10,10
11403,64,11,17
11404,64,12,11
11407,64,15,12
11408,64,16,13
11409,64,17,14
11410,64,18,15
11411,64,19,16
11413,64,21,18
11414,64,22,19
11415,64,23,20
11570,65,0,1
11571,65,1,2
11572,65,2,3
11573,65,3,4
11574,65,4,5
11575,65,5,7
11576,65,6,6
11578,65,8,8
11579,65,9,9
11580,65,10,10
11581,65,11,17
11582,65,12,11
11585,65,15,12
11586,65,16,13
11587,65,17,14
11588,65,18,15
11589,65,19,16
11591,65,21,18
11592,65,22,19
11593,65,23,20
11748,66,0,1
11749,66,1,2
11750,66,2,3
11751,66,3,4
11752,66,4,5
11753,66,5,7
11754,66,6,6
11756,66,8,8
11757,66,9,9
11758,66,10,10
11759,66,11,17
11760,66,12,11
11763,66,15,12
11764,66,16,13
11765,66,17,14
11766,66,18,15
11767,66,19,16
11769,66,21,18
11770,66,22,19
11771,66,23,20
11926,67,0,1
11927,67,1,2
11928,67,2,3
11929,67,3,4
11930,67,4,5
11931,67,5,7
11932,67,6,6
11934,67,8,8
11935,67,9,9
11936,67,10,10
11937,67,11,17
11938,67,12,11
11941,67,15,12
11942,67,16,13
11943,67,17,14
11944,67,18,15
11945,67,19,16
11947,67,21,18
11948,67,22,19
11949,67,23,20
12104,68,0,1
12105,68,1,2
12106,68,2,3
12107,68,3,4
12108,68,4,5
12109,68,5,7
12110,68,6,6
12112,68,8,8
12113,68,9,9
